latitude_deg	longitude_deg	height_m	gravity_mGal	survey_ID	year	xGEOID17RefB	h
36.75783	-107.20667	2121.4	979212.875	746	9999	-20.43395761804	2100.96604238196
36.75633	-108.16333	1658.7	979330.497	746	9999	-21.93351237225	1636.76648762775
36.75633	-106.60333	2219.2	979186.43	746	9999	-18.76048317065	2200.43951682935
36.75217	-107.805	1722.1	979310.494	746	9999	-21.64784032834	1700.45215967166
36.75067	-108.41667	1576.7	979362.042	746	9999	-21.98288859726	1554.71711140274
36.74983	-108.53667	1526.9	979371.667	746	9999	-21.97203892036	1504.92796107964
36.74983	-108.45	1563.0	979366.472	746	9999	-21.9829317437	1541.0170682563
36.7475	-107.6	1883.4	979270.958	746	9999	-21.31052096119	1862.0894790388102
36.7475	-107.42833	1962.9	979250.611	746	9999	-20.98511657497	1941.91488342503
36.74667	-108.70667	1569.3	979370.41	746	9999	-21.87817807566	1547.42182192434
36.74517	-108.06667	1756.0	979306.827	746	9999	-21.91427434788	1734.08572565212
36.74517	-107.97833	1722.7	979312.565	746	9999	-21.84721189587	1700.85278810413
36.7435	-108.88167	1592.3	979368.992	746	9999	-21.67980526485	1570.6201947351499
36.7435	-108.255	1600.2	979345.823	746	9999	-22.00180664844	1578.1981933515601
36.7435	-107.12833	2176.9	979198.027	746	9999	-20.27369549639	2156.6263045036103
36.74117	-107.84833	1774.5	979299.531	746	9999	-21.71482229081	1752.78517770919
36.74117	-106.51667	2298.8	979170.788	746	9999	-18.40753249365	2280.3924675063504
36.74033	-108.74833	1553.3	979374.33	746	9999	-21.85228843943	1531.44771156057
36.74033	-102.44666999999998	1251.2	979497.414	746	9999	-24.93107304752	1226.2689269524801
36.7395	-107.23167	2114.7	979215.204	746	9999	-20.5157917206	2094.1842082793996
36.7395	-106.46333	2372.6	979154.937	746	9999	-18.11836133321	2354.48163866679
36.738	-107.73167	1833.4	979285.236	746	9999	-21.57814552935	1811.8218544706501
36.73717	-108.37833	1574.0	979359.711	746	9999	-22.01664445131	1551.98335554869
36.73633	-108.94167	1595.3	979371.617	746	9999	-21.54493650703	1573.75506349297
36.73483	-107.55667	1915.1	979264.019	746	9999	-21.23302570878	1893.86697429122
36.73483	-106.7605	2251.3	979172.879	746	9999	-19.37845198557	2231.9215480144303
36.73383	-107.07	2215.0	979185.041	746	9999	-20.17000971904	2194.82999028096
36.73383	-106.56667	2239.1	979179.654	746	9999	-18.69078649553	2220.40921350447
36.73383	-102.8	1382.0	979458.206	746	9999	-24.01719473095	1357.98280526905
36.73383	-102.765	1363.6	979461.962	746	9999	-24.12665809299	1339.4733419070099
36.73383	-102.72833000000004	1351.8	979465.829	746	9999	-24.23018668785	1327.56981331215
36.73383	-102.675	1319.1	979474.914	746	9999	-24.36690639939	1294.73309360061
36.73383	-102.63833	1300.7	979480.131	746	9999	-24.46109013368	1276.23890986632
36.73383	-102.60333000000004	1295.5	979482.445	746	9999	-24.55388226315	1270.94611773685
36.73383	-102.54833000000002	1282.9	979486.797	746	9999	-24.69725906234	1258.20274093766
36.73383	-102.51166999999998	1271.2	979490.027	746	9999	-24.78583468693	1246.41416531307
36.73233	-107.78333	1748.0	979303.019	746	9999	-21.65166339001	1726.34833660999
36.7315	-107.27833	2055.6	979225.589	746	9999	-20.63215330136	2034.96784669864
36.73083	-108.335	1576.2	979354.862	746	9999	-22.03716014169	1554.16283985831
36.73083	-102.505	1269.4	979490.297	746	9999	-24.80316122127	1244.59683877873
36.72917	-108.57833	1578.3	979361.313	746	9999	-22.00023300984	1556.29976699016
36.72917	-108.3	1592.6	979350.35	746	9999	-22.04234403537	1570.55765596463
36.72683	-108.545	1599.6	979353.664	746	9999	-22.023644972	1577.5763550279999
36.72683	-108.42833	1627.9	979347.854	746	9999	-22.03352374278	1605.86647625722
36.72683	-108.20667	1618.6	979339.744	746	9999	-22.00687480992	1596.59312519008
36.72683	-107.68833	1972.4	979251.652	746	9999	-21.51278522791	1950.8872147720901
36.72517	-107.40167	1982.4	979245.584	746	9999	-20.93534045495	1961.4646595450502
36.72433	-107.00833	2201.6	979184.629	746	9999	-20.03766820047	2181.56233179953
